deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
fake_1035.wav,2.9568808,2.5561652,3.9830668,3.2777574,3.4455888,NISQAv2
fake_1753.wav,3.5081055,3.666507,4.0190935,3.365947,3.9821503,NISQAv2
real_2145.wav,4.3704324,4.3435903,4.551332,4.138794,4.426907,NISQAv2
real_1458.wav,4.4279485,3.8857298,4.6401916,4.2410073,4.48888,NISQAv2
fake_178.wav,2.8414853,2.1326616,3.9114938,3.0609272,3.5045407,NISQAv2
fake_1747.wav,3.2300546,2.6874168,4.021656,3.2677515,3.9188645,NISQAv2
real_2151.wav,3.7223065,3.8815806,4.040242,3.2479873,3.9868605,NISQAv2
fake_1021.wav,3.8292284,3.5996706,4.25423,3.5403035,4.136478,NISQAv2
fake_2528.wav,3.055187,3.2378333,3.702872,2.6101353,3.6080213,NISQAv2
real_1869.wav,4.3082924,4.101555,4.4643793,4.174133,4.421536,NISQAv2
fake_391.wav,1.9678359,2.595759,3.603217,2.4407225,2.8330567,NISQAv2
real_549.wav,3.980757,3.2255986,4.34348,4.067546,4.059393,NISQAv2
fake_385.wav,3.193484,2.4989548,3.9107583,3.4998205,3.8529937,NISQAv2
real_2384.wav,3.9428227,3.2841938,4.263149,3.8644292,4.1894603,NISQAv2
fake_1592.wav,3.1193402,3.80534,3.7256205,2.9254005,3.4743938,NISQAv2
real_207.wav,3.8300092,2.8658211,4.3970323,4.0352225,4.1354218,NISQAv2
real_1855.wav,3.787492,2.10508,4.372962,4.068972,4.092757,NISQAv2
real_561.wav,3.9038122,3.003991,4.426782,4.0162992,4.221989,NISQAv2
real_575.wav,4.587174,4.449316,4.669774,4.1284676,4.526919,NISQAv2
real_213.wav,4.459852,4.2793517,4.542694,4.204972,4.4587245,NISQAv2
real_1841.wav,3.5648813,2.4029691,4.1032825,3.794179,3.9801855,NISQAv2
real_1699.wav,4.0011387,3.2923944,4.2241,4.0078917,4.1705427,NISQAv2
real_2390.wav,4.133231,3.4130175,4.376523,4.0455194,4.254846,NISQAv2
fake_1586.wav,3.5053017,3.9395244,3.9802682,3.3566406,3.8916557,NISQAv2
real_1672.wav,4.16276,4.245088,4.5391254,4.3157744,4.310435,NISQAv2
